n_turns,PTO_LA0 (iters 1-10),PTO_LA0 (iters 1-10) pairs,PTO_LA5 (iters 1-10),PTO_LA5 (iters 1-10) pairs,GRPO_LA0 (iters 1-10),GRPO_LA0 (iters 1-10) pairs,GRPO_LA0 (iters 1-5),GRPO_LA0 (iters 1-5) pairs,GRPO_LA5 (iters 1-5),GRPO_LA5 (iters 1-5) pairs
12,"0.865 [0.851, 0.877]",33323,"0.892 [0.882, 0.902]",35412,"0.860 [0.847, 0.871]",41074,"0.862 [0.845, 0.877]",20034,"0.864 [0.847, 0.880]",19744
14,"0.863 [0.849, 0.875]",27756,"0.888 [0.877, 0.898]",31764,"0.872 [0.860, 0.883]",38445,"0.883 [0.868, 0.896]",19269,"0.885 [0.869, 0.899]",18545
16,"0.858 [0.842, 0.873]",21582,"0.879 [0.866, 0.891]",27436,"0.878 [0.867, 0.889]",32582,"0.891 [0.877, 0.905]",16508,"0.892 [0.875, 0.906]",17007
18,"0.841 [0.824, 0.860]",16199,"0.864 [0.849, 0.878]",22382,"0.876 [0.864, 0.888]",26574,"0.900 [0.886, 0.914]",13823,"0.895 [0.877, 0.910]",14308
20,"0.825 [0.804, 0.846]",12092,"0.852 [0.833, 0.869]",17572,"0.874 [0.860, 0.888]",22169,"0.904 [0.888, 0.918]",11356,"0.892 [0.872, 0.908]",11666
22,"0.808 [0.782, 0.835]",9013,"0.851 [0.833, 0.869]",13817,"0.877 [0.862, 0.890]",17621,"0.910 [0.894, 0.924]",9198,"0.891 [0.870, 0.911]",9044
24,"0.789 [0.759, 0.818]",6836,"0.836 [0.813, 0.856]",10314,"0.875 [0.860, 0.889]",14100,"0.914 [0.897, 0.929]",7306,"0.894 [0.871, 0.914]",6740
26,"0.787 [0.751, 0.820]",5244,"0.828 [0.802, 0.853]",7589,"0.874 [0.855, 0.890]",11355,"0.913 [0.894, 0.929]",5661,"0.900 [0.875, 0.923]",5196
28,"0.784 [0.744, 0.821]",3957,"0.825 [0.797, 0.851]",6114,"0.867 [0.847, 0.885]",9508,"0.904 [0.882, 0.923]",4392,"0.896 [0.866, 0.920]",4373
30,"0.764 [0.717, 0.806]",3085,"0.812 [0.780, 0.840]",5184,"0.874 [0.853, 0.890]",8563,"0.911 [0.888, 0.929]",3742,"0.897 [0.868, 0.922]",3461
32,"0.763 [0.715, 0.806]",2598,"0.822 [0.788, 0.855]",3937,"0.866 [0.843, 0.887]",7040,"0.918 [0.890, 0.937]",2829,"0.898 [0.865, 0.923]",2589
34,"0.760 [0.703, 0.812]",2110,"0.816 [0.781, 0.849]",3151,"0.874 [0.849, 0.894]",6439,"0.925 [0.899, 0.946]",2437,"0.900 [0.865, 0.930]",2057
36,"0.767 [0.707, 0.818]",1767,"0.806 [0.767, 0.846]",2635,"0.876 [0.849, 0.898]",5657,"0.927 [0.898, 0.950]",2097,"0.906 [0.872, 0.933]",1822
38,"0.765 [0.705, 0.820]",1428,"0.815 [0.770, 0.858]",2143,"0.872 [0.844, 0.897]",5270,"0.934 [0.909, 0.953]",1795,"0.913 [0.877, 0.942]",1447
40,"0.758 [0.694, 0.821]",1137,"0.804 [0.757, 0.847]",1767,"0.882 [0.856, 0.906]",4812,"0.932 [0.902, 0.956]",1499,"0.924 [0.886, 0.954]",1294
42,"0.738 [0.660, 0.810]",991,"0.814 [0.760, 0.860]",1502,"0.884 [0.860, 0.906]",4570,"0.930 [0.898, 0.956]",1350,"0.924 [0.881, 0.955]",1173
44,"0.748 [0.667, 0.822]",896,"0.809 [0.753, 0.859]",1360,"0.874 [0.845, 0.896]",4339,"0.922 [0.888, 0.951]",1292,"0.918 [0.877, 0.949]",1059
46,"0.757 [0.660, 0.835]",672,"0.825 [0.770, 0.873]",1205,"0.881 [0.849, 0.907]",4033,"0.937 [0.908, 0.960]",1078,"0.921 [0.880, 0.955]",971
48,"0.756 [0.660, 0.836]",529,"0.826 [0.768, 0.873]",1125,"0.893 [0.865, 0.915]",3881,"0.934 [0.898, 0.960]",1040,"0.929 [0.891, 0.959]",948
50,,,,,"0.897 [0.869, 0.920]",3683,"0.937 [0.902, 0.966]",943,"0.935 [0.890, 0.964]",851
12-20,"0.855 [0.843, 0.868]",110952,"0.879 [0.867, 0.889]",134566,"0.871 [0.860, 0.881]",160844,"0.885 [0.873, 0.897]",80990,"0.884 [0.870, 0.897]",81270
22-34,"0.787 [0.756, 0.816]",32843,"0.833 [0.810, 0.853]",50106,"0.873 [0.857, 0.886]",74626,"0.912 [0.897, 0.926]",35565,"0.895 [0.874, 0.913]",33460
36-50,"0.757 [0.695, 0.816]",7420,"0.813 [0.769, 0.852]",11737,"0.882 [0.858, 0.901]",36245,"0.931 [0.907, 0.949]",11094,"0.919 [0.886, 0.943]",9565
all,"0.836 [0.820, 0.851]",151215,"0.863 [0.848, 0.876]",196409,"0.873 [0.861, 0.884]",271715,"0.897 [0.885, 0.907]",127649,"0.890 [0.873, 0.903]",124295
